ano,cod_uf,nome_uf,espvida
2020,11,Rondônia,71.2
2020,12,Acre,74.47
2020,13,Amazonas,71.99
2020,14,Roraima,72
2020,15,Pará,72.02
2020,16,Amapá,73.91
2020,17,Tocantins,74.02
2020,21,Maranhão,70.45
2020,22,Piauí,71.06
2020,23,Ceará,74.29
2020,24,Rio Grande do Norte,76.28
2020,25,Paraíba,73.93
2020,26,Pernambuco,74.88
2020,27,Alagoas,72.15
2020,28,Sergipe,73.18
2020,29,Bahia,73.66
2020,31,Minas Gerais,77.7
2020,32,Espírito Santo,78.68
2020,33,Rio de Janeiro,73.24
2020,35,São Paulo,75.63
2020,41,Paraná,74.2
2020,42,Santa Catarina,76.47
2020,43,Rio Grande do Sul,74.88
2020,50,Mato Grosso do Sul,72.34
2020,51,Mato Grosso,71.16
2020,52,Goiás,70.76
2020,53,Distrito Federal,75.17
